,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
638,2012-07-16,105.18758151335686,4.87,4.74,-0.8263837269743476,14791700.0,0.0,1.0,4.85,4.87,4.74,4.83,14791700.0
639,2012-07-17,105.18655410850351,4.93,4.71,-0.7874101377561237,14273200.0,0.0,1.0,4.85,4.93,4.71,4.87,14273200.0
640,2012-07-18,105.16552670365016,5.02,4.76,-0.7684365485379002,15849900.0,0.0,1.0,4.83,5.02,4.76,4.89,15849900.0
641,2012-07-19,105.2644992987968,5.07,4.82,-0.7994629593196757,27598400.0,0.0,1.0,4.93,5.07,4.82,4.86,27598400.0
642,2012-07-20,104.95347189394346,4.62,4.2,-1.4404893701014523,52272400.0,0.0,1.0,4.62,4.62,4.2,4.22,52272400.0
643,2012-07-23,104.4824444890901,4.16,4.03,-1.5115157808832278,22166600.0,0.0,1.0,4.15,4.16,4.03,4.15,22166600.0
644,2012-07-24,104.51141708423674,4.2,4.0,-1.6025421916650038,21019600.0,0.0,1.0,4.18,4.2,4.0,4.06,21019600.0
645,2012-07-25,104.4403896793834,4.15,3.98,-1.6535686024467797,20287800.0,0.0,1.0,4.11,4.15,3.98,4.01,20287800.0
646,2012-07-26,104.37936227453005,4.09,4.0,-1.6245950132285556,11233600.0,0.0,1.0,4.05,4.09,4.0,4.04,11233600.0
647,2012-07-27,104.4183348696767,4.12,4.02,-1.575621424010332,13882400.0,0.0,1.0,4.09,4.12,4.02,4.09,13882400.0
648,2012-07-30,104.40730746482335,4.13,4.06,-1.5666478347921082,9546600.0,0.0,1.0,4.08,4.13,4.06,4.1,9546600.0
649,2012-07-31,104.41628005996999,4.15,4.05,-1.6076742455738844,13539000.0,0.0,1.0,4.09,4.15,4.05,4.06,13539000.0
650,2012-08-01,104.41525265511665,4.15,3.99,-1.6187006563556605,16227500.0,0.0,1.0,4.09,4.15,3.99,4.05,16227500.0
651,2012-08-02,104.35422525026328,4.12,3.89,-1.6997270671374363,15798800.0,0.0,1.0,4.03,4.12,3.89,3.97,15798800.0
652,2012-08-03,104.33319784540994,4.1,3.98,-1.5807534779192127,8352200.0,0.0,1.0,4.01,4.1,3.98,4.09,8352200.0
653,2012-08-06,104.42217044055658,4.12,3.95,-1.661779888700989,18012600.0,0.0,1.0,4.1,4.12,3.95,4.01,18012600.0
654,2012-08-07,104.36114303570324,4.12,4.01,-1.6528062994827653,17095500.0,0.0,1.0,4.04,4.12,4.01,4.02,17095500.0
